station_id,station_name,lat,lon,year,Alkalitet,Aluminium,"Aluminium,ikkelabil","Aluminium,reaktivt",Ammonium,Arsen,Bly,Ca/Mg,Fluorid,Kalium,Kalsium,Klorid,Kobber,Konduktivitet,Krom,Magnesium,Natrium,Nikkel,Nitritt+nitrat,Sink,Sulfat,Totalfosfor,Totalnitrogen,Totalorganiskkarbon(TOC),pH,utm_north,utm_east,utm_zone
26491.0,Langevatn,58.81769698,7.36889014,1995,0.026000000000000002,,46.0,93.0,,,,2.2307692307692304,40.0,0.08,0.29,1.3,,1.24,,0.13,0.86,,80.0,,1.3,3.0,190.0,2.1,5.05,6544885.552924856,59866.73126133892,33
26491.0,Langevatn,58.81769698,7.36889014,2019,0.042,,49.0,60.0,,,,3.3,29.0,0.045,0.33,0.9,,0.82,,0.1,0.74,,40.0,,0.45,2.0,130.0,3.1,5.45,6544885.552924856,59866.73126133892,33
26492.0,Storevatnet,58.74,7.222,1995,,,13.0,93.0,,,,,,,,,,,,,,,,,,2.0,,,,6537249.188407635,50412.61331998953,33
26492.0,Storevatnet,58.74,7.222,2019,,,8.0,26.0,,,,,,,,,,,,,,,,,,2.0,,,,6537249.188407635,50412.61331998953,33
26493.0,Ljoslandsvatnet,58.771,7.353,1995,,,79.0,106.0,,,,,,,,,,,,,,,,,,4.0,,,,6539812.461778679,58358.16833716992,33
26493.0,Ljoslandsvatnet,58.771,7.353,2019,,,63.0,78.0,,,,,,,,,,,,,,,,,,8.0,,,,6539812.461778679,58358.16833716992,33
26494.0,Vassåkervatnet,58.073,7.396,1995,0.036000000000000004,,36.0,116.0,,,,1.5638297872340423,50.0,0.39,1.47,11.7,,5.75,,0.94,6.21,,235.0,,5.3,4.0,415.0,1.9,5.42,6462124.67677145,52031.37575787265,33
26494.0,Vassåkervatnet,58.073,7.396,2019,0.053,,120.0,160.0,,,,1.3389830508474578,25.0,0.27,0.79,7.69,,4.02,,0.59,5.28,,141.0,,2.0,6.0,310.0,6.3,5.56,6462124.67677145,52031.37575787265,33
26495.0,Jovatnet,58.1667468,7.1301914,1995,0.026000000000000002,,23.0,142.0,,,,1.639344262295082,40.0,0.31,1.0,8.2,,4.37,,0.61,4.5,,180.0,,4.1,2.0,295.0,2.4,4.99,6474318.797913903,37635.07624421333,33
26495.0,Jovatnet,58.1667468,7.1301914,2019,0.042,,58.0,96.0,,,,1.2325581395348841,56.0,0.2,0.53,6.11,,3.2,,0.43,4.18,,82.0,,1.62,3.0,230.0,4.3,5.34,6474318.797913903,37635.07624421333,33
26496.0,Hagevatnet,58.19840868,7.08428579,1995,0.017,,67.0,185.0,31.0,,,1.3518518518518516,40.0,0.3,0.73,7.3,,4.16,,0.54,4.38,,117.0,,3.7,5.0,315.0,3.9,4.76,6478145.603195993,35360.430165520986,33
26496.0,Hagevatnet,58.19840868,7.08428579,2019,0.047,,81.0,110.0,26.0,,,1.526315789473684,22.0,0.21,0.58,5.0,,2.8,,0.38,3.53,,107.0,,1.36,6.0,260.0,5.1,5.35,6478145.603195993,35360.430165520986,33
26497.0,Grantjørni,58.586,7.122,1995,,,129.0,177.0,,,,,,,,,,,,,,,,,,3.0,,,,6520854.435815721,42631.57338436163,33
